TokensAlign  ;MOT          ;MOT N.;CONTEXT N.;FONEMA ANTERIOR;FONEMA POSTERIOR;SIMETRIA;SÍL·LABA (tipus);SÍL·LABA (posició);PROSÒDIA (tipus);PROSÒDIA (posició);TEST
amor         ;amor         ;1     ;10        ;m              ;ɾ               ;A       ;T               ;SF                ;Dec             ;PF                ;T2
cupido       ;cupido       ;2     ;5         ;p              ;ð               ;A       ;O               ;SM                ;Dec             ;PF                ;T1
cupidos      ;cupidos      ;2     ;5         ;p              ;ð               ;A       ;O               ;SM                ;Dec             ;PF                ;T1
esgargot     ;esgargot     ;3     ;6         ;ɡ              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
esgargots    ;esgargots    ;3     ;6         ;ɡ              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
esgarigot    ;esgarigot    ;3     ;6         ;ɡ              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
esgarigots   ;esgarigots   ;3     ;6         ;ɡ              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
esgragot     ;esgragot     ;3     ;6         ;ɡ              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
esgragots    ;esgragots    ;3     ;6         ;ɡ              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
esgrigot     ;esgrigot     ;3     ;6         ;ɡ              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
esgrigots    ;esgrigots    ;3     ;6         ;ɡ              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
esguirgot    ;esguirgot    ;3     ;6         ;ɡ              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
esguirgots   ;esguirgots   ;3     ;6         ;ɡ              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
gargot       ;gargot       ;3     ;6         ;ɡ              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
gargots      ;gargots      ;3     ;6         ;ɡ              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
gragot       ;gragot       ;3     ;6         ;ɡ              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
gragots      ;gragots      ;3     ;6         ;ɡ              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
grigot       ;grigot       ;3     ;6         ;ɡ              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
grigots      ;grigots      ;3     ;6         ;ɡ              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
tutú         ;tutú         ;4     ;7         ;t              ;#               ;A       ;O               ;SF                ;Dec             ;PF                ;T1
tutús        ;tutús        ;4     ;7         ;t              ;#               ;A       ;O               ;SF                ;Dec             ;PF                ;T1
bota         ;bota         ;5     ;3+10      ;b              ;t               ;A       ;O               ;SI                ;Dec             ;PF                ;T1
botes        ;botes        ;5     ;3+10      ;b              ;t               ;A       ;O               ;SI                ;Dec             ;PF                ;T1
botí         ;botí         ;6     ;7         ;t              ;#               ;A       ;O               ;SF                ;Dec             ;PF                ;T1
patins       ;patins       ;6     ;7         ;t              ;n               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
patí         ;patí         ;6     ;7         ;t              ;#               ;A       ;O               ;SF                ;Dec             ;PF                ;T1
veta         ;veta         ;7     ;3         ;b              ;t               ;A       ;O               ;SI                ;Dec             ;PF                ;T1
vetes        ;vetes        ;7     ;3         ;b              ;t               ;A       ;O               ;SI                ;Dec             ;PF                ;T1
vora         ;vora         ;8     ;10        ;β              ;ɾ               ;A       ;O               ;SI                ;Dec             ;PF                ;T2
vores        ;vores        ;8     ;10        ;β              ;ɾ               ;A       ;O               ;SI                ;Dec             ;PF                ;T2
bata         ;bata         ;9     ;3         ;b              ;t               ;A       ;O               ;SI                ;Dec             ;PF                ;T1
bates        ;bates        ;9     ;3         ;b              ;t               ;A       ;O               ;SI                ;Dec             ;PF                ;T1
cap_cot      ;cap_cot      ;10    ;6         ;k              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
cap_cots     ;cap_cots     ;10    ;6         ;k              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
capcot       ;capcot       ;10    ;6         ;k              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
capcots      ;capcots      ;10    ;6         ;k              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
cot          ;cot          ;10    ;6         ;k              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
cots         ;cots         ;10    ;6         ;k              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
botiguers    ;botiguers    ;11    ;6         ;ɡ              ;s               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
puntiagut    ;puntiagut    ;12    ;6         ;ɡ              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
punxegut     ;punxegut     ;12    ;6         ;ɡ              ;t               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
pèl-roig     ;pèl-roig     ;13    ;11        ;r              ;t͡ʃ             ;A       ;T               ;SF                ;Dec             ;PF                ;T2
